Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE
"Charlton, MA",4,1062.2,42,01507
"Charlton, MA",5,973.4,4,01507
"Chatham, MA",3,1635.42,7,02633
"Chatham, MA",4,1373.75,3,02633
"Chelmsford, MA",3,1471.88,119,01824
"Chelmsford, MA",4,1308.33,72,01824
"Chelmsford, MA",5,1152.58,16,01824
"Chelmsford, MA",6,997.6,3,01863
"Chelsea, MA",3,1331.23,20,02150
"Chelsea, MA",4,1259.27,3,02150
"Cheshire, MA",3,1122.99,3,01225
"Chester, MA",3,828.61,5,01011
"Chesterfield, MA",3,964.79,10,01012
"Chicopee, MA",3,708.68,160,01020
"Chicopee, MA",4,585.48,67,01020
"Chicopee, MA",5,497.17,5,01020
"Chicopee, MA",6,468.82,7,01020
"Clinton, MA",3,1041.22,34,01510
"Clinton, MA",4,817.71,11,01510
"Clinton, MA",5,745.75,5,01510
"Cohasset, MA",3,1315.97,10,02025
"Cohasset, MA",4,1308.33,5,02025
"Concord, MA",4,1627.24,11,01742
"Conway, MA",3,1057.57,7,01341
"Cummington, MA",3,872.22,7,01026
"Dalton, MA",3,667.8,14,01226
"Dalton, MA",4,614.92,7,01226
"Danvers, MA",3,1471.88,59,01923
"Danvers, MA",4,1267.45,37,01923
"Danvers, MA",5,1285.44,10,01923
"Dartmouth, MA",3,1221.11,81,02747
"Dartmouth, MA",4,1205.3,37,02747
"Dartmouth, MA",5,990.41,8,02747
"Dedham, MA",3,1502.4,59,02026
"Dedham, MA",4,1308.33,29,02026
"Dedham, MA",5,1169.65,5,02026
"Deerfield, MA",3,894.03,17,01373
"Deerfield, MA",4,874.95,4,01373
"Dennis, MA",3,1362.85,60,02660
"Dennis, MA",4,1287.89,30,02639
"Dighton, MA",3,1314.77,42,02715
"Dighton, MA",4,1041.76,16,02764
"Dighton, MA",5,1282.17,3,02764
"Douglas, MA",3,1170.96,51,01516
"Douglas, MA",4,1144.79,17,01516
"Dover, MA",4,1594.53,4,02030
"Dracut, MA",3,1221.11,91,01826
"Dracut, MA",4,1177.5,61,01826
"Dracut, MA",5,853.69,14,01826
"Dracut, MA",6,899.48,7,01826
"Dudley, MA",3,981.25,54,01571
"Dudley, MA",4,814.44,24,01571
"Dudley, MA",5,765.38,3,01571
"Dunstable, MA",3,1498.04,6,01827
"Dunstable, MA",4,1365.57,11,01827
"Duxbury, MA",3,1587.44,15,02332
"Duxbury, MA",4,1464.52,32,02332
"East Bridgewater, MA",3,1308.33,41,02333
"East Bridgewater, MA",4,1274.81,22,02333
"East Bridgewater, MA",6,1275.63,4,02333
"East Brookfield, MA",3,1035.76,9,01515
"East Brookfield, MA",4,694.23,4,01515
"East Longmeadow, MA",3,828.61,63,01028
"East Longmeadow, MA",4,735.94,50,01028
"East Longmeadow, MA",5,1027.04,9,01028
"Eastham, MA",3,1602.71,20,02642
"Eastham, MA",4,1471.88,7,02642
"Easthampton, MA",3,970.35,64,01027
"Easthampton, MA",4,825.89,17,01027
"Easthampton, MA",5,995.64,3,01027
"Easton, MA",3,1368.3,62,02375
"Easton, MA",4,1417.91,44,02356
"Easton, MA",5,1118.62,4,02356
"Erving, MA",3,937.64,6,01344
"Everett, MA",3,1482.78,19,02149
"Everett, MA",4,1247.01,8,02149
"Everett, MA",5,1118.62,3,02149
"Everett, MA",6,1071.2,3,02149
"Fairhaven, MA",3,1116.99,48,02719
"Fairhaven, MA",4,1120.26,5,02719
"Fall River, MA",3,1000.88,189,02720
"Fall River, MA",4,768.65,48,02721
"Fall River, MA",5,707.81,8,02724
"Fall River, MA",6,681.42,7,02724
"Falmouth, MA",3,1343.22,119,02536
"Falmouth, MA",4,1255.18,70,02536
"Falmouth, MA",5,1210.21,7,02536
"Fitchburg, MA",3,959.44,104,01420
"Fitchburg, MA",4,768.65,38,01420
"Fitchburg, MA",5,752.29,6,01420
"Fitchburg, MA",6,561.49,5,01420
"Foxboro, MA",3,1330.14,45,02035
"Foxboro, MA",4,1381.93,28,02035
"Foxboro, MA",5,1534.02,4,02035
"Framingham, MA",3,1393.92,196,01701
"Framingham, MA",4,1275.62,142,01701
"Framingham, MA",5,1139.56,17,01701
"Framingham, MA",6,904.93,5,01702
"Franklin, MA",3,1351.94,83,02038
"Franklin, MA",4,1390.1,86,02038
"Franklin, MA",5,1226.56,12,02038
"Freetown, MA",3,1308.33,42,02717
"Freetown, MA",4,1111.27,14,02702
"Freetown, MA",5,798.08,3,02702
"Gardner, MA",3,926.52,77,01440
"Gardner, MA",4,743.3,16,01440
"Georgetown, MA",3,1458.79,26,01833
"Georgetown, MA",4,1471.88,29,01833
"Gill, MA",3,844.97,5,01354
"Gloucester, MA",3,1537.29,26,01930
"Gloucester, MA",4,1259.27,11,01930
"Goshen, MA",3,942.55,4,01032
"Grafton, MA",3,1272.35,82,01536
"Grafton, MA",4,1344.31,44,01519
"Grafton, MA",5,1570.0,7,01519
"Granby, MA",3,861.32,25,01033
"Granby, MA",4,977.98,8,01033
"Granville, MA",3,915.83,5,01034
"Granville, MA",4,719.58,3,01034
"Greenfield, MA",3,785.0,33,01301
"Greenfield, MA",4,685.24,16,01301
"Groton, MA",3,1387.27,32,01450
"Groton, MA",4,1496.41,40,01450
"Groton, MA",5,1602.71,5,01450
"Groveland, MA",3,1428.26,22,01834
"Groveland, MA",4,1361.48,14,01834
"Groveland, MA",5,968.17,3,01834
"Hadley, MA",3,1087.88,15,01035
"Hadley, MA",4,1177.84,9,01035
"Halifax, MA",3,1177.5,37,02338
"Halifax, MA",4,1377.02,11,02338
"Hamilton, MA",3,1450.07,15,01982
"Hamilton, MA",4,1441.29,8,01982
"Hampden, MA",3,959.23,21,01036
"Hampden, MA",4,829.16,22,01036
"Hanover, MA",3,1455.52,32,02339
"Hanover, MA",4,1353.31,26,02339
"Hanover, MA",5,1246.19,8,02339
"Hanson, MA",3,1311.06,32,02341
"Hanson, MA",4,1275.63,28,02341
"Hardwick, MA",3,992.15,9,01037
"Harvard, MA",3,1504.58,8,01451
"Harvard, MA",4,1471.88,9,01451
"Harwich, MA",3,1477.33,46,02645
"Harwich, MA",4,1242.92,21,02645
"Harwich, MA",5,1295.15,3,02645
"Hatfield, MA",3,1087.55,10,01038
"Haverhill, MA",3,1237.77,194,01830
"Haverhill, MA",4,1207.26,72,01830
"Haverhill, MA",5,973.4,6,01835
"Heath, MA",3,752.29,5,01346
"Hingham, MA",3,1679.03,7,02043
"Hingham, MA",4,1578.18,8,02043
"Hingham, MA",5,1291.98,4,02043
"Hinsdale, MA",4,789.21,3,01235
"Holbrook, MA",3,1154.6,59,02343
"Holbrook, MA",4,1112.08,20,02343
"Holbrook, MA",5,902.75,7,02343
"Holden, MA",3,1174.23,91,01520
"Holden, MA",4,1126.39,76,01520
"Holden, MA",5,997.6,6,01520
"Holland, MA",3,894.03,23,01521
"Holland, MA",4,628.0,7,01521
"Holliston, MA",3,1439.17,51,01746
"Holliston, MA",4,1260.91,54,01746
"Holliston, MA",5,1242.92,3,01746
"Holyoke, MA",3,741.39,68,01040
"Holyoke, MA",4,635.44,32,01040
"Hopedale, MA",3,1232.01,23,01747
"Hopedale, MA",4,1144.79,13,01747
"Hopedale, MA",5,981.25,3,01747
"Hopkinton, MA",3,1564.55,24,01748
"Hopkinton, MA",4,1606.8,32,01748
"Hubbardston, MA",3,1057.57,21,01452
"Hubbardston, MA",4,940.36,5,01452
"Hudson, MA",3,1311.6,68,01749
"Hudson, MA",4,1161.15,47,01749
"Hudson, MA",5,1088.53,11,01749
"Hull, MA",3,1384.65,23,02045
"Hull, MA",4,1133.34,10,02045
"Huntington, MA",3,981.25,7,01050
"Ipswich, MA",3,1495.86,34,01938
"Ipswich, MA",4,1300.16,13,01938
"Ipswich, MA",5,1635.42,3,01938
"Kingston, MA",3,1346.49,46,02364
"Kingston, MA",4,1424.82,22,02364
"Kingston, MA",5,1252.73,4,02364
"Lakeville, MA",3,1215.66,64,02347
"Lakeville, MA",4,1206.12,30,02347
"Lakeville, MA",5,1332.86,6,02347
"Lancaster, MA",3,1166.49,26,01523
"Lancaster, MA",4,1324.69,18,01523
"Lancaster, MA",5,922.38,3,01523
"Lanesborough, MA",3,844.97,6,01237
"Lanesborough, MA",4,686.88,6,01237
"Lawrence, MA",3,1199.31,57,01843
"Lawrence, MA",4,952.63,20,01843
"Lawrence, MA",6,964.35,4,01843
"Leicester, MA",3,937.64,46,01524
"Leicester, MA",4,834.06,18,01524
"Leicester, MA",5,510.25,3,01542
"Leominster, MA",3,1065.2,136,01453
"Leominster, MA",4,937.09,47,01453
"Leominster, MA",5,888.36,9,01453
"Leominster, MA",6,654.17,5,01453
"Leverett, MA",3,1362.85,4,01054
"Leverett, MA",4,948.54,4,01054
"Lexington, MA",4,1742.21,3,02420
"Leyden, MA",3,1155.69,5,01337
"Lincoln, MA",3,1742.26,3,01773
"Lincoln, MA",4,1570.0,3,01773
"Littleton, MA",3,1359.03,22,01460
"Littleton, MA",4,1480.05,13,01460
"Littleton, MA",5,1477.11,3,01460
"Longmeadow, MA",3,1035.76,69,01106
"Longmeadow, MA",4,1112.08,47,01106
"Longmeadow, MA",5,915.7,13,01106
"Lowell, MA",3,1185.68,150,01852
"Lowell, MA",4,1010.69,71,01852
"Lowell, MA",5,758.83,11,01854
"Lowell, MA",6,872.22,9,01852
"Ludlow, MA",3,781.73,94,01056
"Ludlow, MA",4,720.4,47,01056
"Ludlow, MA",5,706.5,7,01056
"Lunenburg, MA",3,1112.08,71,01462
"Lunenburg, MA",4,1226.48,24,01462
"Lunenburg, MA",6,883.12,3,01462
"Lynn, MA",3,1334.5,121,01904
"Lynn, MA",4,1128.44,31,01904
"Lynn, MA",5,955.08,11,01904
"Lynnfield, MA",3,1460.97,11,01940
"Lynnfield, MA",4,1586.35,17,01940
"Lynnfield, MA",5,1177.5,5,01940
"Malden, MA",3,1443.53,39,02148
"Malden, MA",4,1398.28,20,02148
"Malden, MA",6,1144.79,6,02148
"Manchester, MA",4,1406.46,5,01944
"Mansfield, MA",3,1417.36,47,02048
"Mansfield, MA",4,1418.72,44,02048
"Mansfield, MA",5,1578.18,8,02048
"Mansfield, MA",6,855.87,5,02048
"Marblehead, MA",3,1570.0,26,01945
"Marblehead, MA",4,1578.18,18,01945
"Marblehead, MA",5,1256.0,6,01945
"Marion, MA",3,1362.85,13,02738
"Marion, MA",4,1103.91,13,02738
"Marlborough, MA",3,1253.82,104,01752
"Marlborough, MA",4,1144.79,79,01752
"Marlborough, MA",5,1177.5,11,01752
"Marlborough, MA",6,1090.28,3,01752
"Marshfield, MA",3,1526.39,60,02050
"Marshfield, MA",4,1434.26,39,02050
"Marshfield, MA",5,1184.04,8,02050
"Mashpee, MA",3,1365.03,55,02649
"Mashpee, MA",4,1079.38,17,02649
"Mattapoisett, MA",3,1384.65,24,02739
"Mattapoisett, MA",4,1278.9,16,02739
"Maynard, MA",3,1262.54,51,01754
"Maynard, MA",4,1336.95,22,01754
"Medfield, MA",3,1526.39,9,02052
"Medfield, MA",4,1512.76,25,02052
"Medfield, MA",5,1484.96,4,02052
"Medford, MA",3,1591.81,35,02155
"Medford, MA",4,1570.0,25,02155
"Medford, MA",5,1596.17,7,02155
"Medway, MA",3,1253.82,35,02053
"Medway, MA",4,1271.54,52,02053
"Medway, MA",5,1190.58,7,02053
"Melrose, MA",3,1591.81,22,02176
"Melrose, MA",4,1401.55,16,02176
"Melrose, MA",5,1481.69,4,02176
"Melrose, MA",6,1536.2,6,02176
"Mendon, MA",3,1417.36,27,01756
"Mendon, MA",4,1340.88,27,01756
"Mendon, MA",5,1347.58,4,01756
"Merrimac, MA",3,1471.88,17,01860
"Merrimac, MA",4,1308.33,9,01860
"Methuen, MA",3,1303.86,164,01844
"Methuen, MA",4,1128.44,87,01844
"Methuen, MA",5,919.1,18,01844
"Methuen, MA",6,898.93,6,01844
"Middleboro, MA",3,1242.92,119,02346
"Middleboro, MA",4,1210.62,45,02346
"Middleboro, MA",5,1074.57,4,02346
"Middleton, MA",3,1586.35,15,01949
"Middleton, MA",4,1561.82,9,01949
"Middleton, MA",5,883.12,3,01949
"Milford, MA",3,1221.11,84,01757
"Milford, MA",4,1181.59,62,01757
"Milford, MA",5,817.71,3,01757
"Millbury, MA",3,1039.91,60,01527
"Millbury, MA",4,1083.46,32,01527
"Millis, MA",3,1362.85,31,02054
"Millis, MA",4,1282.17,37,02054
"Millis, MA",5,1033.58,8,02054
"Millville, MA",3,1172.05,12,01529
"Millville, MA",4,985.34,8,01529
"Milton, MA",3,1575.45,12,02186
"Milton, MA",4,1471.07,18,02186
"Milton, MA",5,1504.58,3,02186
"Milton, MA",6,1199.31,3,02186
"Monson, MA",3,948.54,35,01057
"Monson, MA",4,857.78,16,01057
"Montague, MA",3,789.36,28,01376
"Montague, MA",4,654.17,9,01351
"Montgomery, MA",3,1253.82,5,01085
"Nahant, MA",3,1528.57,4,01908
"Nahant, MA",4,1381.93,3,01908
"Natick, MA",3,1591.81,43,01760
"Natick, MA",4,1504.58,48,01760
"Natick, MA",5,1413.0,12,01760
"Natick, MA",6,1272.9,3,01760
"Needham, MA",4,1704.92,8,02492
"New Bedford, MA",3,1035.76,121,02745
"New Bedford, MA",4,793.18,25,02745
