Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE
"Sudbury, MA",3,1591.81,18,01776
"Sudbury, MA",4,1564.28,38,01776
"Sudbury, MA",5,1269.08,7,01776
"Sunderland, MA",3,1024.86,13,01375
"Sutton, MA",3,1221.11,33,01590
"Sutton, MA",4,1226.56,23,01590
"Sutton, MA",5,1236.38,3,01590
"Swampscott, MA",3,1508.4,10,01907
"Swampscott, MA",4,1193.85,13,01907
"Swansea, MA",3,1100.09,74,02777
"Swansea, MA",4,1051.41,19,02777
"Swansea, MA",5,1111.95,3,02777
"Taunton, MA",3,1122.99,240,02780
"Taunton, MA",4,981.25,59,02780
"Taunton, MA",5,830.79,7,02780
"Templeton, MA",3,997.5,36,01468
"Templeton, MA",4,870.86,8,01468
"Tewksbury, MA",3,1460.97,106,01876
"Tewksbury, MA",4,1242.92,75,01876
"Tewksbury, MA",5,1216.68,4,01876
"Tewksbury, MA",7,845.74,3,01876
"Tolland, MA",3,910.38,6,01034
"Tolland, MA",4,821.8,3,01034
"Topsfield, MA",3,1641.96,7,01983
"Topsfield, MA",4,1551.19,18,01983
"Topsfield, MA",5,1321.42,4,01983
"Townsend, MA",3,1117.53,60,01469
"Townsend, MA",4,981.25,18,01474
"Tyngsborough, MA",3,1346.49,34,01879
"Tyngsborough, MA",4,1324.69,29,01879
"Upton, MA",3,1308.33,21,01568
"Upton, MA",4,1359.85,26,01568
"Upton, MA",5,1396.65,4,01568
"Uxbridge, MA",3,1182.95,92,01569
"Uxbridge, MA",4,1203.56,56,01569
"Wakefield, MA",3,1580.9,53,01880
"Wakefield, MA",4,1444.07,35,01880
"Wakefield, MA",5,1224.93,6,01880
"Wakefield, MA",6,1117.53,3,01880
"Wales, MA",3,708.68,5,01081
"Wales, MA",4,948.46,4,01081
"Walpole, MA",3,1395.56,56,02081
"Walpole, MA",4,1341.04,43,02081
"Walpole, MA",5,1253.38,10,02081
"Walpole, MA",6,1362.85,3,02032
"Waltham, MA",3,1624.51,53,02451
"Waltham, MA",4,1480.05,45,02451
"Waltham, MA",5,1504.58,5,02451
"Waltham, MA",6,1281.08,3,02451
"Ware, MA",3,802.44,47,01082
"Ware, MA",4,780.91,12,01082
"Wareham, MA",3,1112.08,108,02571
"Wareham, MA",4,979.61,43,02571
"Wareham, MA",5,1190.45,4,02571
"Warren, MA",3,957.26,29,01083
"Warren, MA",4,771.92,6,01083
"Watertown, MA",3,1689.93,19,02472
"Watertown, MA",4,1430.99,7,02472
"Watertown, MA",6,1321.96,4,02472
"Wayland, MA",3,1688.84,6,01778
"Wayland, MA",4,1594.53,14,01778
"Webster, MA",3,928.92,78,01570
"Webster, MA",4,791.13,30,01570
"Webster, MA",5,663.98,6,01570
"Webster, MA",7,607.35,3,01570
"Wellfleet, MA",3,1362.85,5,02667
"Wellfleet, MA",4,1144.79,5,02667
"Wenham, MA",3,1656.68,4,01984
"Wenham, MA",4,1532.39,3,01984
"West Boylston, MA",3,1133.89,37,01583
"West Boylston, MA",4,1050.76,12,01583
"West Bridgewater, MA",3,1264.72,24,02379
"West Bridgewater, MA",4,1063.02,9,02379
"West Brookfield, MA",3,1076.0,24,01585
"West Brookfield, MA",4,784.84,7,01585
"West Newbury, MA",3,1493.68,7,01985
"West Newbury, MA",4,1512.76,9,01985
"West Springfield, MA",3,806.81,74,01089
"West Springfield, MA",4,667.25,48,01089
"West Springfield, MA",5,560.62,4,01089
"West Springfield, MA",6,468.82,3,01089
"Westborough, MA",3,1395.56,46,01581
"Westborough, MA",4,1324.69,33,01581
"Westborough, MA",5,1291.98,6,01581
"Westborough, MA",6,1198.22,3,01581
"Westfield, MA",3,853.14,124,01085
"Westfield, MA",4,785.0,74,01085
"Westfield, MA",5,558.66,9,01085
"Westford, MA",3,1515.49,33,01886
"Westford, MA",4,1496.41,51,01886
"Westford, MA",5,1177.5,5,01886
"Westhampton, MA",3,1008.51,10,01027
"Westminster, MA",3,1177.5,51,01473
"Westminster, MA",4,1185.68,29,01473
"Westport, MA",3,1308.33,39,02790
"Westport, MA",4,1251.09,9,02790
"Westwood, MA",3,1635.2,11,02090
"Westwood, MA",4,1471.88,6,02090
"Westwood, MA",5,1668.12,3,02090
"Weymouth, MA",3,1411.91,164,02190
"Weymouth, MA",4,1218.39,89,02190
"Weymouth, MA",5,1062.37,7,02190
"Weymouth, MA",6,1046.67,3,02189
"Whately, MA",3,948.0,4,01373
"Whitman, MA",3,1166.49,48,02382
"Whitman, MA",4,1004.15,10,02382
"Whitman, MA",5,1046.67,5,02382
"Wilbraham, MA",3,981.25,52,01095
"Wilbraham, MA",4,883.12,97,01095
"Wilbraham, MA",5,1048.63,12,01095
"Williamsburg, MA",3,1035.76,7,01096
"Williamsburg, MA",4,1349.22,4,01039
"Williamstown, MA",3,625.82,5,01267
"Wilmington, MA",3,1559.1,84,01887
"Wilmington, MA",4,1430.91,26,01887
"Winchendon, MA",3,993.24,62,01475
"Winchendon, MA",4,719.58,15,01475
"Winchendon, MA",5,804.62,3,01475
"Winchester, MA",4,1659.95,5,01890
"Windsor, MA",4,650.08,3,01270
"Winthrop, MA",3,1452.8,14,02152
"Winthrop, MA",4,1413.82,6,02152
"Winthrop, MA",5,1445.71,4,02152
"Woburn, MA",3,1510.03,72,01801
"Woburn, MA",4,1449.8,38,01801
"Woburn, MA",5,1216.75,10,01801
"Worcester, MA",3,1003.06,366,01604
"Worcester, MA",4,915.56,120,01606
"Worcester, MA",5,850.42,11,01609
"Worcester, MA",6,741.39,7,01604
"Worcester, MA",7,785.0,3,01603
"Worthington, MA",3,839.51,10,01098
"Wrentham, MA",3,1330.14,27,02093
"Wrentham, MA",4,1439.17,23,02093
"Wrentham, MA",5,1628.88,4,02093
"Yarmouth, MA",3,1416.27,110,02673
"Yarmouth, MA",4,1164.42,34,02673
